Ticker,TotalTime,logDate,logTime,priceOpen,priceHigh,priceLow,priceClose,amount
BTCUSDT,201709010900,20170901,900,4689.89,4745.35,4689.89,4721.05,15.711673
BTCUSDT,201709011000,20170901,1000,4730.05,4766.99,4701.11,4725.0,28.111344
BTCUSDT,201709011100,20170901,1100,4740.99,4767.0,4723.0,4735.96,15.140693
BTCUSDT,201709011200,20170901,1200,4767.0,4767.0,4713.67,4714.73,16.684268
BTCUSDT,201709011300,20170901,1300,4714.73,4734.99,4672.0,4672.0,40.823528
BTCUSDT,201709011400,20170901,1400,4672.0,4688.96,4654.88,4664.14,8.746669
BTCUSDT,201709011500,20170901,1500,4664.14,4696.99,4656.3,4666.66,14.171554
BTCUSDT,201709011600,20170901,1600,4666.66,4713.8,4666.66,4707.5,37.484383
BTCUSDT,201709011700,20170901,1700,4715.0,4762.99,4708.09,4749.99,35.028762
BTCUSDT,201709011800,20170901,1800,4731.01,4750.0,4731.0,4742.46,34.771839
BTCUSDT,201709011900,20170901,1900,4739.33,4778.19,4735.98,4761.42,27.300415
BTCUSDT,201709012000,20170901,2000,4761.42,4798.46,4725.88,4775.0,33.865639
BTCUSDT,201709012100,20170901,2100,4775.0,4793.0,4736.35,4793.0,8.029873
BTCUSDT,201709012200,20170901,2200,4783.0,4839.92,4775.99,4777.02,14.1
BTCUSDT,201709012300,20170901,2300,4777.02,4788.0,4725.81,4725.81,21.605461
BTCUSDT,201709020000,20170902,0,4748.46,4804.12,4746.94,4803.83,25.152378
BTCUSDT,201709020100,20170902,100,4756.46,4803.83,4746.94,4780.8,29.92371
BTCUSDT,201709020200,20170902,200,4776.93,4794.97,4738.94,4792.97,23.412875
BTCUSDT,201709020300,20170902,300,4792.97,4811.82,4739.08,4771.08,18.353034
BTCUSDT,201709020400,20170902,400,4758.67,4815.67,4752.77,4813.24,25.262004
BTCUSDT,201709020500,20170902,500,4808.79,4819.67,4776.15,4819.67,19.796934
BTCUSDT,201709020600,20170902,600,4819.65,4859.44,4770.63,4770.63,23.988148
BTCUSDT,201709020700,20170902,700,4760.01,4857.6,4760.01,4843.17,14.685877
BTCUSDT,201709020800,20170902,800,4844.24,4885.55,4796.16,4834.91,28.515305
BTCUSDT,201709020900,20170902,900,4796.16,4885.55,4784.43,4885.55,21.532721
BTCUSDT,201709021000,20170902,1000,4885.55,4932.38,4850.01,4932.38,45.474996
BTCUSDT,201709021100,20170902,1100,4932.38,4939.19,4837.49,4839.96,30.984318
BTCUSDT,201709021200,20170902,1200,4839.96,4850.0,4764.88,4788.07,47.546493
BTCUSDT,201709021300,20170902,1300,4765.01,4814.49,4765.01,4794.11,20.9504
BTCUSDT,201709021400,20170902,1400,4797.45,4814.44,4473.35,4473.35,61.955495
BTCUSDT,201709021500,20170902,1500,4493.0,4732.86,4473.35,4696.44,66.739179
BTCUSDT,201709021600,20170902,1600,4732.85,4780.0,4652.13,4697.71,29.124534
BTCUSDT,201709021700,20170902,1700,4701.02,4709.4,4549.78,4628.86,46.816561
BTCUSDT,201709021800,20170902,1800,4628.9,4660.29,4549.77,4604.02,34.027855
BTCUSDT,201709021900,20170902,1900,4604.01,4654.73,4556.71,4625.56,43.2785
BTCUSDT,201709022000,20170902,2000,4634.95,4688.66,4617.95,4630.01,18.11696
BTCUSDT,201709022100,20170902,2100,4669.75,4675.0,4516.17,4604.97,46.381532
BTCUSDT,201709022200,20170902,2200,4604.97,4637.56,4569.65,4618.39,21.950267
BTCUSDT,201709022300,20170902,2300,4618.39,4618.39,4418.22,4483.94,53.057107
BTCUSDT,201709030000,20170903,0,4433.58,4483.62,4354.61,4460.19,65.915579
BTCUSDT,201709030100,20170903,100,4465.12,4508.96,4377.43,4439.0,48.470317
BTCUSDT,201709030200,20170903,200,4443.0,4545.76,4377.44,4530.01,36.504369
BTCUSDT,201709030300,20170903,300,4554.98,4554.98,4480.81,4486.06,31.20194
BTCUSDT,201709030400,20170903,400,4486.06,4509.96,4428.66,4509.77,23.438896
BTCUSDT,201709030500,20170903,500,4509.77,4509.96,4286.87,4351.19,57.065876
BTCUSDT,201709030600,20170903,600,4351.28,4414.59,4286.87,4299.53,25.71493
BTCUSDT,201709030700,20170903,700,4398.49,4492.88,4299.47,4405.0,24.656166
BTCUSDT,201709030800,20170903,800,4439.92,4508.5,4392.72,4472.14,28.243604
BTCUSDT,201709030900,20170903,900,4508.5,4618.38,4508.5,4600.53,29.470282
BTCUSDT,201709031000,20170903,1000,4556.71,4609.98,4486.19,4560.0,27.551972
BTCUSDT,201709031100,20170903,1100,4545.0,4569.95,4467.88,4568.91,25.620889
BTCUSDT,201709031200,20170903,1200,4568.91,4618.4,4555.0,4569.54,29.925615
BTCUSDT,201709031300,20170903,1300,4584.78,4714.75,4584.78,4690.79,31.012677
BTCUSDT,201709031400,20170903,1400,4697.72,4714.76,4651.18,4675.12,39.947194
BTCUSDT,201709031500,20170903,1500,4684.9,4714.33,4605.12,4605.12,21.866116
BTCUSDT,201709031600,20170903,1600,4605.12,4658.56,4586.29,4620.87,26.926897
BTCUSDT,201709031700,20170903,1700,4610.52,4674.86,4610.52,4621.44,29.759933
BTCUSDT,201709031800,20170903,1800,4628.0,4645.84,4502.75,4523.47,37.794733
BTCUSDT,201709031900,20170903,1900,4523.48,4554.17,4472.49,4510.09,19.604208
BTCUSDT,201709032000,20170903,2000,4508.98,4557.19,4456.8,4486.0,16.054645
BTCUSDT,201709032100,20170903,2100,4475.23,4511.0,4415.05,4510.99,23.175971
BTCUSDT,201709032200,20170903,2200,4490.03,4557.25,4298.33,4303.1,59.913815
BTCUSDT,201709032300,20170903,2300,4303.31,4400.0,4298.33,4399.93,58.223375
BTCUSDT,201709040000,20170904,0,4388.8,4469.14,4351.03,4384.15,28.958358
BTCUSDT,201709040100,20170904,100,4351.02,4475.7,4345.01,4459.11,22.772713
BTCUSDT,201709040200,20170904,200,4459.11,4529.44,4459.1,4476.13,21.94449
BTCUSDT,201709040300,20170904,300,4500.0,4522.45,4425.46,4482.04,38.484202
BTCUSDT,201709040400,20170904,400,4494.16,4530.0,4460.06,4529.0,23.092892
BTCUSDT,201709040500,20170904,500,4529.0,4550.0,4496.19,4505.18,27.455662
BTCUSDT,201709040600,20170904,600,4496.97,4549.0,4445.15,4549.0,18.610223
BTCUSDT,201709040700,20170904,700,4549.0,4583.84,4492.73,4521.19,20.267247
BTCUSDT,201709040800,20170904,800,4496.55,4574.99,4496.52,4509.08,12.782089
BTCUSDT,201709040900,20170904,900,4505.0,4527.49,4431.44,4438.11,18.255424
BTCUSDT,201709041000,20170904,1000,4438.11,4460.13,4411.8,4411.81,15.584801
BTCUSDT,201709041100,20170904,1100,4411.97,4448.03,4406.0,4408.0,27.710037
BTCUSDT,201709041200,20170904,1200,4408.0,4426.67,4340.5,4340.51,19.78086
BTCUSDT,201709041300,20170904,1300,4340.53,4460.12,4340.53,4409.65,49.186324
BTCUSDT,201709041400,20170904,1400,4410.05,4467.0,4394.97,4402.0,40.73726
BTCUSDT,201709041500,20170904,1500,4402.02,4466.89,4396.43,4459.77,27.066394
BTCUSDT,201709041600,20170904,1600,4459.77,4493.15,4052.0,4186.96,158.923616
BTCUSDT,201709041700,20170904,1700,4102.05,4390.0,4075.0,4351.95,184.927841
BTCUSDT,201709041800,20170904,1800,4365.3,4384.14,4274.23,4336.42,85.201823
BTCUSDT,201709041900,20170904,1900,4336.86,4437.68,4303.06,4349.23,79.732198
BTCUSDT,201709042000,20170904,2000,4349.23,4352.58,4114.33,4153.0,114.818176
BTCUSDT,201709042100,20170904,2100,4153.0,4200.01,4106.81,4106.81,60.979923
BTCUSDT,201709042200,20170904,2200,4106.81,4311.14,4106.81,4275.19,57.538323
BTCUSDT,201709042300,20170904,2300,4275.19,4275.19,4112.27,4120.01,69.498776
BTCUSDT,201709050000,20170905,0,4120.01,4171.0,4014.76,4015.03,88.224205
BTCUSDT,201709050100,20170905,100,4015.03,4115.05,4014.76,4014.83,54.416388
BTCUSDT,201709050200,20170905,200,4015.01,4046.37,3972.52,3972.53,36.948808
BTCUSDT,201709050300,20170905,300,3972.53,4149.98,3972.51,4115.03,30.426346
BTCUSDT,201709050400,20170905,400,4115.03,4224.99,4100.03,4203.67,33.251024
BTCUSDT,201709050500,20170905,500,4187.0,4210.0,4121.02,4197.24,23.21673
BTCUSDT,201709050600,20170905,600,4197.3,4300.95,4190.15,4258.4,41.545516
BTCUSDT,201709050700,20170905,700,4258.4,4258.4,4131.88,4131.88,34.323176
BTCUSDT,201709050800,20170905,800,4131.88,4174.0,4100.11,4100.11,42.350645
BTCUSDT,201709050900,20170905,900,4106.97,4116.08,3901.02,3999.99,74.287186
BTCUSDT,201709051000,20170905,1000,3956.58,4121.33,3620.0,3620.0,99.245285
BTCUSDT,201709051100,20170905,1100,3659.5,4054.15,3603.0,4054.11,53.837624
BTCUSDT,201709051200,20170905,1200,4054.11,4071.83,3943.11,3988.04,59.3672
BTCUSDT,201709051300,20170905,1300,3996.24,4070.38,3943.1,4038.01,38.124178
BTCUSDT,201709051400,20170905,1400,4038.01,4044.46,3943.12,3960.01,55.237208
BTCUSDT,201709051500,20170905,1500,3966.83,4058.27,3960.01,4013.46,56.646196
BTCUSDT,201709051600,20170905,1600,4013.46,4190.4,4013.46,4190.4,63.826839
BTCUSDT,201709051700,20170905,1700,4190.0,4217.23,4084.74,4086.8,90.408904
BTCUSDT,201709051800,20170905,1800,4099.99,4123.0,4050.0,4120.05,65.802656
BTCUSDT,201709051900,20170905,1900,4120.4,4188.63,4096.07,4169.76,21.125407
BTCUSDT,201709052000,20170905,2000,4170.24,4248.6,4136.87,4246.82,44.777442
BTCUSDT,201709052100,20170905,2100,4248.64,4297.63,4220.98,4221.83,69.346328
BTCUSDT,201709052200,20170905,2200,4220.98,4277.02,4192.29,4261.04,40.530683
BTCUSDT,201709052300,20170905,2300,4267.23,4298.0,4192.3,4229.0,74.440726
BTCUSDT,201709060000,20170906,0,4229.0,4242.06,4116.65,4151.0,60.758728
BTCUSDT,201709060100,20170906,100,4140.0,4219.68,4096.06,4142.69,31.453975
BTCUSDT,201709060200,20170906,200,4180.31,4337.7,4170.66,4322.47,25.60986
BTCUSDT,201709060300,20170906,300,4317.67,4430.0,4294.0,4390.14,38.630245
BTCUSDT,201709060400,20170906,400,4390.43,4459.55,4363.51,4442.48,29.890495
BTCUSDT,201709060500,20170906,500,4442.09,4444.02,4363.5,4431.61,40.573856
BTCUSDT,201709060600,20170906,600,4410.16,4445.72,4351.01,4374.43,28.956005
BTCUSDT,201709060700,20170906,700,4366.77,4430.89,4352.53,4423.46,34.408467
BTCUSDT,201709060800,20170906,800,4427.31,4484.99,4352.54,4366.47,31.652664
BTCUSDT,201709060900,20170906,900,4366.49,4457.18,4365.73,4442.05,42.435053
BTCUSDT,201709061000,20170906,1000,4442.05,4521.18,4415.15,4502.83,44.28589
BTCUSDT,201709061100,20170906,1100,4502.83,4522.81,4444.24,4446.0,65.305877
BTCUSDT,201709061200,20170906,1200,4453.0,4479.95,4414.25,4430.02,35.393749
BTCUSDT,201709061300,20170906,1300,4448.1,4466.09,4365.73,4388.48,33.166056
BTCUSDT,201709061400,20170906,1400,4365.73,4437.29,4335.26,4416.17,47.486376
BTCUSDT,201709061500,20170906,1500,4416.54,4422.36,4335.26,4385.51,30.240164
BTCUSDT,201709061600,20170906,1600,4393.5,4505.96,4364.93,4461.29,55.415346
BTCUSDT,201709061700,20170906,1700,4476.13,4574.46,4474.2,4513.52,43.460837
BTCUSDT,201709061800,20170906,1800,4559.99,4574.46,4487.01,4492.66,37.027982
BTCUSDT,201709061900,20170906,1900,4497.81,4538.95,4469.82,4525.39,22.478306
BTCUSDT,201709062000,20170906,2000,4535.29,4597.79,4485.01,4548.13,72.327695
BTCUSDT,201709062100,20170906,2100,4544.59,4594.9,4490.04,4527.04,124.337025
BTCUSDT,201709062200,20170906,2200,4526.46,4547.77,4422.28,4502.77,48.475811
BTCUSDT,201709062300,20170906,2300,4490.01,4546.57,4466.2,4517.97,44.921193
BTCUSDT,201709070000,20170907,0,4503.0,4619.47,4488.33,4619.43,43.862768
BTCUSDT,201709070800,20170907,800,4619.43,4662.87,4610.0,4619.77,16.743598
BTCUSDT,201709070900,20170907,900,4619.77,4661.93,4538.1,4599.78,6.288827
BTCUSDT,201709071000,20170907,1000,4540.01,4546.69,4451.93,4453.01,15.791151
BTCUSDT,201709071100,20170907,1100,4465.64,4527.1,4438.19,4499.95,29.384685
BTCUSDT,201709071200,20170907,1200,4507.48,4572.47,4484.03,4484.03,35.710423
BTCUSDT,201709071300,20170907,1300,4489.48,4549.52,4482.0,4541.17,18.430628
BTCUSDT,201709071400,20170907,1400,4542.35,4561.9,4511.97,4519.48,20.847166
BTCUSDT,201709071500,20170907,1500,4519.47,4548.13,4498.39,4498.4,11.892871
BTCUSDT,201709071600,20170907,1600,4515.25,4518.81,4452.0,4510.25,14.773582
BTCUSDT,201709071700,20170907,1700,4475.01,4561.9,4458.0,4531.07,22.005716
BTCUSDT,201709071800,20170907,1800,4539.19,4589.99,4511.9,4571.66,17.9371
BTCUSDT,201709071900,20170907,1900,4580.78,4608.43,4557.89,4589.4,27.923643
BTCUSDT,201709072000,20170907,2000,4607.16,4649.92,4574.01,4613.94,24.643818
BTCUSDT,201709072100,20170907,2100,4616.79,4705.53,4587.65,4674.0,69.922532
BTCUSDT,201709072200,20170907,2200,4674.0,4723.32,4665.0,4710.0,34.338136
BTCUSDT,201709072300,20170907,2300,4720.32,4743.49,4642.84,4669.81,41.180745
BTCUSDT,201709080000,20170908,0,4669.0,4759.25,4642.98,4755.0,19.768269
BTCUSDT,201709080100,20170908,100,4755.0,4788.59,4672.35,4705.03,25.322621
BTCUSDT,201709080200,20170908,200,4749.89,4771.98,4680.01,4702.06,11.465997
BTCUSDT,201709080300,20170908,300,4711.25,4727.93,4688.0,4713.67,8.080735
BTCUSDT,201709080400,20170908,400,4720.13,4759.99,4680.01,4754.21,7.258899
BTCUSDT,201709080500,20170908,500,4716.61,4716.61,4620.0,4620.0,12.900795
BTCUSDT,201709080600,20170908,600,4620.0,4641.13,4586.13,4641.13,10.292479
BTCUSDT,201709080700,20170908,700,4632.0,4752.12,4609.04,4670.45,8.163567
BTCUSDT,201709080800,20170908,800,4710.0,4737.21,4690.01,4691.61,6.10559
BTCUSDT,201709080900,20170908,900,4691.66,4735.39,4586.13,4614.49,23.595421
BTCUSDT,201709081000,20170908,1000,4616.69,4636.79,4587.03,4601.01,6.305355
BTCUSDT,201709081100,20170908,1100,4634.94,4653.49,4606.01,4640.97,3.444388
BTCUSDT,201709081200,20170908,1200,4640.96,4641.99,4605.02,4605.05,12.555739
BTCUSDT,201709081300,20170908,1300,4633.47,4633.47,4605.03,4605.03,6.573815
BTCUSDT,201709081400,20170908,1400,4611.86,4630.7,4605.02,4622.0,8.90423
BTCUSDT,201709081500,20170908,1500,4608.0,4630.66,4587.08,4609.46,17.769257
BTCUSDT,201709081600,20170908,1600,4621.45,4630.7,4612.21,4619.01,11.582698
BTCUSDT,201709081700,20170908,1700,4625.36,4683.77,4620.0,4683.77,8.981001
BTCUSDT,201709081800,20170908,1800,4683.77,4699.77,4646.91,4660.72,10.177418
BTCUSDT,201709081900,20170908,1900,4650.54,4660.75,4611.48,4659.99,8.269038
